company_id,total_pros,total_cons,signal_balance,signal_class,leverage_class,growth_class,cashflow_signal,overall_class,risk_level,investment_view,recommendation_category,investment_summary
LTIM,11,4,7,Strong Positive,Low Leverage,High Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"LTIM shows strong positive overall investment signals with low leverage, high growth, and positive cash flow signals. The assessed risk level is low risk."
HCLTECH,10,3,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"HCLTECH shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
IOC,10,3,7,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"IOC shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
MOTHERSON,10,3,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"MOTHERSON shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
IRCTC,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"IRCTC shows strong positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is low risk."
LICI,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"LICI shows strong positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is low risk."
MARUTI,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"MARUTI shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
TATACONSUM,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"TATACONSUM shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
TORNTPHARM,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"TORNTPHARM shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
APOLLOHOSP,10,4,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"APOLLOHOSP shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
EICHERMOT,10,4,6,Strong Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"EICHERMOT shows strong positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is low risk."
HEROMOTOCO,10,4,6,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"HEROMOTOCO shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
ONGC,10,4,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"ONGC shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
ASIANPAINT,9,3,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"ASIANPAINT shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
TCS,9,3,6,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"TCS shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
TECHM,9,3,6,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"TECHM shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
ABB,11,6,5,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"ABB shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
HAL,11,6,5,Strong Positive,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Strong Positive,Moderate Risk,Strong Positive Investment Signals,Positive,"HAL shows strong positive overall investment signals with low leverage, moderate growth, and negative cash flow signals. The assessed risk level is moderate risk."
ICICIGI,11,6,5,Strong Positive,Low Leverage,High Growth,Balanced Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"ICICIGI shows strong positive overall investment signals with low leverage, high growth, and balanced cash flow signals. The assessed risk level is low risk."
ADANIPOWER,10,5,5,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"ADANIPOWER shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
BRITANNIA,10,5,5,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"BRITANNIA shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
POWERGRID,10,5,5,Strong Positive,Moderate Leverage,Mixed Growth,Positive Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"POWERGRID shows positive overall investment signals with moderate leverage, mixed growth, and positive cash flow signals. The assessed risk level is moderate risk."
TATAPOWER,10,5,5,Strong Positive,Moderate Leverage,High Growth,Positive Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"TATAPOWER shows positive overall investment signals with moderate leverage, high growth, and positive cash flow signals. The assessed risk level is moderate risk."
BAJAJ-AUTO,9,4,5,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"BAJAJ-AUTO shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
DIVISLAB,9,4,5,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"DIVISLAB shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
TATAMOTORS,9,4,5,Strong Positive,Moderate Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"TATAMOTORS shows positive overall investment signals with moderate leverage, moderate growth, and positive cash flow signals. The assessed risk level is moderate risk."
DABUR,8,3,5,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,Strong Positive Investment Signals,Positive,"DABUR shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk."
TRENT,10,6,4,Positive,Low Leverage,High Growth,Negative Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"TRENT shows positive overall investment signals with low leverage, high growth, and negative cash flow signals. The assessed risk level is moderate risk."
NHPC,9,5,4,Positive,Low Leverage,Low Growth,Positive Cash Flow Signals,Positive,Low Risk,Positive Investment Signals,Positive,"NHPC shows positive overall investment signals with low leverage, low growth, and positive cash flow signals. The assessed risk level is low risk."
PIDILITIND,9,5,4,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,Positive Investment Signals,Positive,"PIDILITIND shows positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
ADANIPORTS,8,4,4,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,Positive Investment Signals,Positive,"ADANIPORTS shows positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
INFY,8,4,4,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,Positive Investment Signals,Positive,"INFY shows positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
GAIL,7,3,4,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,Positive Investment Signals,Positive,"GAIL shows positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
SHREECEM,7,3,4,Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"SHREECEM shows positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is moderate risk."
BAJAJHLDNG,9,6,3,Positive,Low Leverage,High Growth,Negative Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"BAJAJHLDNG shows positive overall investment signals with low leverage, high growth, and negative cash flow signals. The assessed risk level is moderate risk."
SIEMENS,8,5,3,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"SIEMENS shows positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is moderate risk."
TITAN,8,5,3,Positive,Moderate Leverage,High Growth,Balanced Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"TITAN shows positive overall investment signals with moderate leverage, high growth, and balanced cash flow signals. The assessed risk level is moderate risk."
ULTRACEMCO,8,5,3,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,Positive Investment Signals,Positive,"ULTRACEMCO shows positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk."
DMART,7,4,3,Positive,Low Leverage,High Growth,Balanced Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"DMART shows positive overall investment signals with low leverage, high growth, and balanced cash flow signals. The assessed risk level is moderate risk."
JIOFIN,7,4,3,Positive,Low Leverage,Mixed Growth,Balanced Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"JIOFIN shows positive overall investment signals with low leverage, mixed growth, and balanced cash flow signals. The assessed risk level is moderate risk."
NTPC,7,4,3,Positive,Moderate Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"NTPC shows positive overall investment signals with moderate leverage, moderate growth, and positive cash flow signals. The assessed risk level is moderate risk."
ICICIBANK,11,9,2,Positive,High Leverage,High Growth,Balanced Cash Flow Signals,Positive,High Risk,Positive Investment Signals,Positive,"ICICIBANK shows positive overall investment signals with high leverage, high growth, and balanced cash flow signals. The assessed risk level is high risk."
LODHA,10,8,2,Positive,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"LODHA shows positive overall investment signals with low leverage, moderate growth, and negative cash flow signals. The assessed risk level is moderate risk."
ADANIENT,8,6,2,Positive,Moderate Leverage,High Growth,Negative Cash Flow Signals,Positive,High Risk,Positive Investment Signals,Positive,"ADANIENT shows positive overall investment signals with moderate leverage, high growth, and negative cash flow signals. The assessed risk level is high risk."
HAVELLS,8,6,2,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"HAVELLS shows positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is moderate risk."
HDFCLIFE,8,6,2,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"HDFCLIFE shows positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is moderate risk."
ICICIPRULI,8,6,2,Positive,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"ICICIPRULI shows positive overall investment signals with low leverage, moderate growth, and negative cash flow signals. The assessed risk level is moderate risk."
INDIGO,8,6,2,Positive,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"INDIGO shows positive overall investment signals with low leverage, moderate growth, and negative cash flow signals. The assessed risk level is moderate risk."
SBILIFE,8,6,2,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"SBILIFE shows positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is moderate risk."
UNIONBANK,8,6,2,Positive,High Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"UNIONBANK shows positive overall investment signals with high leverage, moderate growth, and positive cash flow signals. The assessed risk level is moderate risk."
AMBUJACEM,7,5,2,Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"AMBUJACEM shows positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is moderate risk."
ATGL,3,1,2,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,Moderate Risk,Positive Investment Signals,Positive,"ATGL shows positive overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is moderate risk."
BEL,8,7,1,Balanced,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"BEL shows balanced overall investment signals with low leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
RECLTD,8,7,1,Balanced,High Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"RECLTD shows balanced overall investment signals with high leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
CANBK,7,6,1,Balanced,High Leverage,Moderate Growth,Positive Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"CANBK shows balanced overall investment signals with high leverage, moderate growth, and positive cash flow signals. The assessed risk level is high risk."
JSWENERGY,7,6,1,Balanced,Moderate Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"JSWENERGY shows balanced overall investment signals with moderate leverage, moderate growth, and balanced cash flow signals. The assessed risk level is high risk."
TVSMOTOR,7,6,1,Balanced,High Leverage,High Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"TVSMOTOR shows balanced overall investment signals with high leverage, high growth, and negative cash flow signals. The assessed risk level is high risk."
BHARTIARTL,6,5,1,Balanced,High Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"BHARTIARTL shows balanced overall investment signals with high leverage, moderate growth, and balanced cash flow signals. The assessed risk level is high risk."
RELIANCE,5,4,1,Balanced,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,Moderate Risk,Balanced Investment Signals,Watch,"RELIANCE shows balanced overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is moderate risk."
BANKBARODA,8,8,0,Balanced,High Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"BANKBARODA shows balanced overall investment signals with high leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
HDFCBANK,7,7,0,Balanced,High Leverage,High Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"HDFCBANK shows balanced overall investment signals with high leverage, high growth, and negative cash flow signals. The assessed risk level is high risk."
IRFC,7,7,0,Balanced,High Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"IRFC shows balanced overall investment signals with high leverage, moderate growth, and balanced cash flow signals. The assessed risk level is high risk."
LT,7,7,0,Balanced,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,Moderate Risk,Balanced Investment Signals,Watch,"LT shows balanced overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is moderate risk."
NAUKRI,7,7,0,Balanced,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"NAUKRI shows balanced overall investment signals with low leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
JINDALSTEL,6,6,0,Balanced,Low Leverage,Mixed Growth,Balanced Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"JINDALSTEL shows balanced overall investment signals with low leverage, mixed growth, and balanced cash flow signals. The assessed risk level is high risk."
PNB,8,9,-1,Balanced,High Leverage,High Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"PNB shows balanced overall investment signals with high leverage, high growth, and negative cash flow signals. The assessed risk level is high risk."
DLF,7,8,-1,Balanced,Low Leverage,Mixed Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"DLF shows balanced overall investment signals with low leverage, mixed growth, and negative cash flow signals. The assessed risk level is high risk."
KOTAKBANK,7,8,-1,Balanced,High Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"KOTAKBANK shows balanced overall investment signals with high leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
ADANIGREEN,5,6,-1,Balanced,High Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"ADANIGREEN shows balanced overall investment signals with high leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
JSWSTEEL,5,6,-1,Balanced,Moderate Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,High Risk,Balanced Investment Signals,Watch,"JSWSTEEL shows balanced overall investment signals with moderate leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
TATASTEEL,5,6,-1,Balanced,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,Moderate Risk,Balanced Investment Signals,Watch,"TATASTEEL shows balanced overall investment signals with low leverage, moderate growth, and balanced cash flow signals. The assessed risk level is moderate risk."
BAJFINANCE,8,10,-2,Negative,High Leverage,High Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"BAJFINANCE shows negative overall investment signals with high leverage, high growth, and negative cash flow signals. The assessed risk level is high risk."
CHOLAFIN,8,10,-2,Negative,High Leverage,High Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"CHOLAFIN shows negative overall investment signals with high leverage, high growth, and negative cash flow signals. The assessed risk level is high risk."
GODREJCP,5,7,-2,Negative,Low Leverage,Mixed Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"GODREJCP shows negative overall investment signals with low leverage, mixed growth, and negative cash flow signals. The assessed risk level is high risk."
ADANIENSOL,4,6,-2,Negative,High Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"ADANIENSOL shows negative overall investment signals with high leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
BAJAJFINSV,7,10,-3,Negative,High Leverage,High Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"BAJAJFINSV shows negative overall investment signals with high leverage, high growth, and negative cash flow signals. The assessed risk level is high risk."
AXISBANK,6,9,-3,Negative,High Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"AXISBANK shows negative overall investment signals with high leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
PFC,6,9,-3,Negative,High Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"PFC shows negative overall investment signals with high leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
SHRIRAMFIN,6,9,-3,Negative,High Leverage,High Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"SHRIRAMFIN shows negative overall investment signals with high leverage, high growth, and negative cash flow signals. The assessed risk level is high risk."
BHEL,5,8,-3,Negative,Low Leverage,Mixed Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"BHEL shows negative overall investment signals with low leverage, mixed growth, and negative cash flow signals. The assessed risk level is high risk."
INDUSINDBK,5,8,-3,Negative,High Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"INDUSINDBK shows negative overall investment signals with high leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
M&M,3,6,-3,Negative,Moderate Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"M&M shows negative overall investment signals with moderate leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
GRASIM,4,8,-4,Negative,Moderate Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,High Risk,Negative Investment Signals,Avoid / High Caution,"GRASIM shows negative overall investment signals with moderate leverage, moderate growth, and negative cash flow signals. The assessed risk level is high risk."
